DEALERSHIP_ID,REGION,CUSTOMER_NO,FIRSTNAME,LASTNAME,ADDRESS,CITY,STATE,ZIP,COUNTRY,PHONE_NUMBER,GENDER,INCOME,EMAIL,AGE,DATE
19,East,39,Melvin M,Bradley,4070 Morning Trl,New York,New York,30349,United States,4047666145,M,26000,,32,01/02/2003 00:00:00
19,East,98,Brady,Lum,2870 Elliott Cir Ne,New York,New York,30305,United States,4042378862,F,29000,lbrady@hotmail.com,47,01/02/2003 00:00:00
19,East,107,J,Anderson,1538 Chantilly Dr Ne,New York,New York,30324,United States,4046333264,M,30000,aj@mailcity.com,49,01/02/2003 00:00:00
19,East,123,Chris,Ernest,2406 Glnrdge Strtford Dr,New York,New York,30342,United States,4045310978,M,28000,echris@compuserve.com,49,01/02/2003 00:00:00
19,East,127,Rudolph J,Gibiser,6917 Roswell Rd Ne,New York,New York,30328,United States,7703990764,M,28000,grudolphj@univ.edu,32,01/02/2003 00:00:00
19,East,135,Brandon,Idol,8011 Roswell Rd,New York,New York,30350,United States,7704810538,M,30000,,32,01/02/2003 00:00:00
19,East,217,Nigel,Bradley,221 Colonial Homes Dr Nw,New York,New York,30309,United States,4043529109,M,35000,,19,01/02/2003 00:00:00
19,East,257,James,Bradford,2067 Eldorado Dr Ne,New York,New York,30345,United States,4046348447,M,9000,bjames@compuserve.com,32,01/02/2003 00:00:00
19,East,338,Charlie,Iddins,3939 Menlo Dr,New York,New York,30340,United States,7707230557,M,105000,icharlie@hotmail.com,34,01/02/2003 00:00:00
19,East,387,Bianco M,Lo,146 W 16th St,New York,New York,10011,United States,2124149404,M,45000,,34,01/02/2003 00:00:00
19,East,436,You F,Huang,113 Madison St,New York,New York,10002,United States,2127913063,M,41000,hyouf@mailcity.com,37,01/02/2003 00:00:00
19,East,442,M,Keady,405 E 54th St,New York,New York,10022,United States,2128388418,M,94000,,37,01/02/2003 00:00:00
19,East,452,T,Locascio,300 E 71st St,New York,New York,10021,United States,2125352781,M,45000,lt@univ.edu,37,01/02/2003 00:00:00
19,East,515,Darlene,Agag,445 E 77th St,New York,New York,10021,United States,2127947238,F,22000,adarlene@geocities.com,39,01/02/2003 00:00:00
19,East,531,Naomi,Jackman,300 E 75th St,New York,New York,10021,United States,2122493741,F,66000,jnaomi@xyz.org,39,01/02/2003 00:00:00
19,East,557,Ponti C,Cia,251 Central Park W,New York,New York,10024,United States,2128777400,M,100000,cpontic@mailcity.com,39,01/02/2003 00:00:00
19,East,557,Ponti C,Cia,251 Central Park W,New York,New York,10024,United States,2128777400,M,100000,cpontic@mailcity.com,39,01/02/2003 00:00:00
19,East,567,L,Egger,530 E 89th St,New York,New York,10028,United States,2124271492,M,45000,el@mailcity.com,39,01/02/2003 00:00:00
19,East,630,Keith J,Viagas,30 W 60th St,New York,New York,10023,United States,2124896014,M,6000,vkeithj@hotmail.com,39,01/02/2003 00:00:00
19,East,631,Francisco,Vial,614 W 114th St,New York,New York,10025,United States,2129328446,M,43000,vfrancisco@geocities.com,39,01/02/2003 00:00:00
19,East,657,John,Gates,500 Fort Washington Ave,New York,New York,10033,United States,2125431869,F,53000,hcarmen@xyz.org,32,01/02/2003 00:00:00
19,East,674,Marion,Rabinowitz,417 Grand St,New York,New York,10002,United States,2126777018,F,7000,,32,01/02/2003 00:00:00
19,East,688,Benedetta,Ciabatti,245 E 40th St,New York,New York,10016,United States,2128672575,M,25000,,32,01/02/2003 00:00:00
19,East,691,Carlos,Fernandez,136 W 91st St,New York,New York,10024,United States,2127878182,M,75000,,32,01/02/2003 00:00:00
19,East,708,James,Obrien,67 E 11th St,New York,New York,10003,United States,2127770023,M,44000,,32,01/02/2003 00:00:00
19,East,769,Tsvi,Agady,610 E 9th St,New York,New York,10009,United States,2125980483,M,80000,,23,01/02/2003 00:00:00
19,East,99999,W J,Kealy,90 Barrow St,Dallas,Texas,10014,United States,2122423754,M,50000,kwj@geocities.com,37,01/02/2003 00:00:00
19,East,805,Daniel,Prendergast,255 E 61st St,New York,New York,10021,United States,2124862733,M,20000,,23,01/02/2003 00:00:00
19,East,809,H,Press,308 W 109th St,New York,New York,10025,United States,2126635755,M,11000,,27,01/02/2003 00:00:00
19,East,816,Nikhil,Seth,20 Waterside Plz,New York,New York,10010,United States,2127799337,M,102000,snikhil@geocities.com,27,01/02/2003 00:00:00
19,East,832,Antonino,Lo,12 Noel Dr,New York,New York,12550,United States,9145655677,M,2000,lantonino@xyz.org,27,01/02/2003 00:00:00
